Region,Building_type,steel,brick,concrete,wood,copper,aluminium,glass
1,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
1,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
1,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
1,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
2,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
2,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
2,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
2,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
3,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
3,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
3,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
3,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
4,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
4,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
4,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
4,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
5,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
5,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
5,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
5,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
6,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
6,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
6,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
6,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
7,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
7,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
7,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
7,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
8,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
8,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
8,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
8,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
9,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
9,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
9,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
9,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
10,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
10,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
10,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
10,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
11,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
11,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
11,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
11,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
12,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
12,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
12,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
12,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
13,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
13,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
13,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
13,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
14,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
14,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
14,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
14,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
15,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
15,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
15,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
15,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
16,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
16,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
16,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
16,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
17,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
17,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
17,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
17,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
18,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
18,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
18,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
18,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
19,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
19,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
19,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
19,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
20,Offices,115,221.5,905.1,6.7,3.9,4.8,6.5
20,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
20,Hotels+,84.4,105,724.2,18.5,3.5,4.4,3.9
20,Govt+,101.9,339.25,1029.1,25.5,3.4,5.8,14.5
21,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
21,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
21,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
21,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
22,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
22,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
22,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
22,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
23,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
23,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
23,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
23,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
24,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
24,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
24,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
24,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
25,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
25,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
25,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
25,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
26,Offices,115,221.3215029,905.1,6.7,3.9,4.8,6.5
26,Retail+,78.5,274,700.1,11.2,2.3,2.4,5.9
26,Hotels+,84.4,300.8333333,724.2,18.5,3.5,4.4,3.9
26,Govt+,101.9,240.9285714,1029.1,25.5,3.4,5.8,14.5
